x,y_obs_D1_MAPbIBr2__XrayDeg_20s_01221113_0001.tif_Azm=_240.00
18.814,0
18.841,0
18.868,0
18.894,0
18.921,0
18.948,0
18.974,0
19.001,0
19.028,0
19.055,0
19.081,0
19.108,0
19.135,0
19.162,0
19.188,0
19.215,0
19.242,0
19.268,0
19.295,0
19.322,0
19.349,0
19.375,0
19.402,0
19.429,0
19.456,0
19.482,0
19.509,0
19.536,0
19.563,0
19.589,0
19.616,0
19.643,0
19.67,0
19.696,0
19.723,0
19.75,0
19.777,0
19.803,0
19.83,0
19.857,0
19.884,0
19.91,0
19.937,0
19.964,0
19.991,0
20.017,0
20.044,0
20.071,0
20.098,0
20.124,0
20.151,0
20.178,0
20.205,0
20.231,0
20.258,0
20.285,0
20.312,0
20.339,0
20.365,0
20.392,0
20.419,0
20.446,0
20.472,0
20.499,0
20.526,0
20.553,0
20.58,0
20.606,0
20.633,0
20.66,0
20.687,0
20.714,0
20.74,0
20.767,0
20.794,0
20.821,0
20.848,0
20.874,0
20.901,0
20.928,0
20.955,0
20.982,0
21.008,0
21.035,0
21.062,0
21.089,0
21.116,0
21.142,0
21.169,0
21.196,0
21.223,0
21.25,0
21.276,0
21.303,0
21.33,0
21.357,0
21.384,0
21.411,0
21.437,0
21.464,0
21.491,0
21.518,0
21.545,0
21.571,0
21.598,0
21.625,0
21.652,0
21.679,0
21.706,0
21.732,0
21.759,0
21.786,0
21.813,0
21.84,0
21.867,0
21.894,0
21.92,0
21.947,0
21.974,0
22.001,0
22.028,0
22.055,0
22.081,0
22.108,0
22.135,0
22.162,0
22.189,0
22.216,0
22.243,0
22.269,0
22.296,0
22.323,0
22.35,0
22.377,0
22.404,0
22.431,0
22.458,0
22.484,0
22.511,0
22.538,0
22.565,0
22.592,0
22.619,0
22.646,0
22.672,0
22.699,0
22.726,0
22.753,0
22.78,0
22.807,0
22.834,0
22.861,0
22.888,0
22.914,0
22.941,0
22.968,0
22.995,0
23.022,0
23.049,0
23.076,0
23.103,0
23.13,0
23.157,0
23.183,0
23.21,0
23.237,0
23.264,0
23.291,0
23.318,0
23.345,0
23.372,0
23.399,0
23.426,0
23.453,0
23.479,0
23.506,0
23.533,0
23.56,0
23.587,0
23.614,0
23.641,0
23.668,0
23.695,0
23.722,0
23.749,0
23.776,0
23.803,0
23.83,0
23.856,0
23.883,0
23.91,0
23.937,0
23.964,0
23.991,0
24.018,0
24.045,0
24.072,0
24.099,0
24.126,0
24.153,0
24.18,0
24.207,0
24.234,0
24.261,0
24.288,0
24.315,0
24.342,0
24.368,0
24.395,0
24.422,0
24.449,0
24.476,0
24.503,0
24.53,0
24.557,0
24.584,0
24.611,0
24.638,0
24.665,0
24.692,0
24.719,0
24.746,0
24.773,0
24.8,0
24.827,0
24.854,0
24.881,0
24.908,0
24.935,0
24.962,0
24.989,0
25.016,0
25.043,0
25.07,0
25.097,0
25.124,0
25.151,0
25.178,0
25.205,0
25.232,0
25.259,0
25.286,0
25.313,0
25.34,0
25.367,0
25.394,0
25.421,0
25.448,0
25.475,0
25.502,0
25.529,0
25.556,0
25.583,0
25.61,0
25.637,0
25.664,0
25.691,0
25.718,0
25.745,0
25.772,0
25.799,0
25.827,0
25.854,0
25.881,0
25.908,0
25.935,0
25.962,0
25.989,0
26.016,0
26.043,0
26.07,0
26.097,0
26.124,0
26.151,0
26.178,0
26.205,0
26.232,0
26.259,0
26.286,0
26.313,0
26.341,0
26.368,0
26.395,0
26.422,0
26.449,0
26.476,0
26.503,0
26.53,0
26.557,0
26.584,0
26.611,0
26.638,0
26.665,0
26.693,0
26.72,0
26.747,0
26.774,0
26.801,0
26.828,0
26.855,0
26.882,0
26.909,0
26.936,0
26.963,0
26.991,0
27.018,0
27.045,0
27.072,0
27.099,0
27.126,0
27.153,0
27.18,0
27.207,0
27.235,0
27.262,0
27.289,0
27.316,0
27.343,0
27.37,0
27.397,0
27.424,0
27.452,0
27.479,0
27.506,0
27.533,0
27.56,0
27.587,0
27.614,0
27.641,0
27.669,0
27.696,0
27.723,0
27.75,0
27.777,0
27.804,0
27.832,0
27.859,0
27.886,0
27.913,0
27.94,0
27.967,0
27.994,0
28.022,0
28.049,0
28.076,0
28.103,0
28.13,0
28.157,0
28.185,0
28.212,0
28.239,0
28.266,0
28.293,0
28.321,0
28.348,0
28.375,0
28.402,0
28.429,0
28.456,0
28.484,0
28.511,0
28.538,0
28.565,0
28.592,0
28.62,0
28.647,0
28.674,0
28.701,0
28.728,0
28.756,0
28.783,0
28.81,0
28.837,0
28.864,0
28.892,0
28.919,0
28.946,0
28.973,0
29.001,0
29.028,0
29.055,0
29.082,0
29.109,0
29.137,0
29.164,0
29.191,0
29.218,0
29.246,0
29.273,0
29.3,0
29.327,0
29.355,0
29.382,0
29.409,0
29.436,0
29.464,0
29.491,0
29.518,0
29.545,0
29.573,0
29.6,0
29.627,0
29.654,0
29.682,0
29.709,0
29.736,0
29.763,0
29.791,0
29.818,0
29.845,0
29.873,0
29.9,0
29.927,0
29.954,0
29.982,0
30.009,0
30.036,0
30.064,0
30.091,0
30.118,0
30.145,0
30.173,0
30.2,0
30.227,0
30.255,0
30.282,0
30.309,0
30.336,0
30.364,0
30.391,0
30.418,0
30.446,0
30.473,0
30.5,0
30.528,0
30.555,0
30.582,0
30.61,0
30.637,0
30.664,0
30.692,0
30.719,0
30.746,0
30.774,0
30.801,0
30.828,0
30.856,0
30.883,0
30.91,0
30.938,0
30.965,0
30.992,0
31.02,0
31.047,0
31.074,0
31.102,0
31.129,0
31.156,0
31.184,0
31.211,0
31.239,0
31.266,0
31.293,0
31.321,0
31.348,0
31.375,0
31.403,0
31.43,0
31.458,0
31.485,0
31.512,0
31.54,0
31.567,0
31.594,0
31.622,0
31.649,0
31.677,0
31.704,0
31.731,0
